Rk,Player,Team,W,L,W/L%,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,Prob%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Nikola JokiÄ‡,DEN,34,16,0.68,43,43,33.5,9.5,15.1,0.629,0.9,2.3,0.39,8.6,12.8,0.673,0.659,5.2,6.3,0.822,2,8.9,10.9,9.9,1.4,0.6,3.5,2.8,25.1,,66.30%
2,Joel Embiid,PHI,32,17,0.653,37,37,34.8,11.3,21.1,0.534,1.2,3.3,0.358,10.1,17.8,0.567,0.562,9.9,11.6,0.852,1.8,8.2,10,4.2,1.1,1.7,3.7,3.4,33.6,,8.80%
3,Luka DonÄiÄ‡,DAL,27,25,0.519,46,46,36.8,11.2,22.4,0.501,2.8,7.8,0.355,8.5,14.6,0.581,0.564,8.2,11.2,0.73,0.9,8,8.9,8.3,1.5,0.5,3.6,2.8,33.4,,7.70%
4,Giannis Antetokounmpo,MIL,33,17,0.66,39,39,33.4,11.2,20.9,0.534,0.8,3,0.274,10.3,17.9,0.578,0.554,8.6,13.4,0.644,2.4,9.7,12,5.3,0.8,0.8,4.1,3.5,31.7,,4.60%
5,Jayson Tatum,BOS,36,15,0.706,48,48,37.5,10.1,21.8,0.465,3.3,9.3,0.35,6.8,12.4,0.55,0.54,7.6,8.8,0.869,1.1,7.6,8.7,4.4,1.1,0.8,2.9,2.2,31.1,,4.40%
6,Kevin Durant,BRK,31,19,0.62,39,39,36,10.5,18.8,0.559,1.8,4.8,0.376,8.7,14,0.622,0.607,6.8,7.3,0.934,0.4,6.4,6.7,5.3,0.8,1.5,3.5,2.4,29.7,,2.40%
7,Domantas Sabonis,SAC,28,21,0.571,47,47,34.5,6.9,11.3,0.61,0.4,1.2,0.364,6.5,10.2,0.638,0.629,4.3,5.7,0.749,3,9.4,12.4,7.1,0.7,0.5,3,3.6,18.5,,2.30%
8,Damian Lillard,POR,24,26,0.48,38,38,35.9,9.2,19.9,0.463,4.1,11.1,0.371,5.1,8.9,0.577,0.566,7.8,8.7,0.906,0.6,3.4,3.9,7.3,0.9,0.3,3.1,2,30.4,,1.20%
9,Ja Morant,MEM,32,18,0.64,42,42,32.6,9.7,20.9,0.465,1.7,5.2,0.318,8,15.6,0.514,0.505,6.2,8.3,0.75,1.1,4.6,5.7,8.2,1,0.3,3.5,1.7,27.3,,1.10%
10,Jimmy Butler,MIA,28,23,0.549,36,36,33.9,7.3,13.9,0.526,0.6,1.8,0.303,6.8,12.1,0.56,0.546,6.8,8,0.847,2.1,4.1,6.1,4.9,2.1,0.3,1.7,1.4,21.9,,1.10%
